,OOS kNN acc,OOS trust,train trust,Tiempo (s)
NTXent(.05),0.7906666666666666,0.9157752666212843,0.9556592426841699,6.689794540405273
NTXent(.07),0.7813333333333333,0.9254113909689131,0.9585562566818329,6.765789985656738
NTXent(.2),0.7986666666666666,0.9741995915588836,0.9846840406752692,10.58407998085022
NTXent(.5),0.7466666666666667,0.980194054912639,0.9868483230153402,7.275420665740967
AlignUniform,0.8,0.9740500113455866,0.9849897914025012,7.576576471328735
Combined(NTX.07+AU.5),0.8066666666666666,0.9379033356024506,0.9674997439148704,8.750375032424927
Combined(NTX.2+AU1.0),0.7946666666666666,0.9753746312684366,0.9859358245692549,9.062979459762573
