,OOS kNN acc,OOS trust,train trust,Tiempo (s)
dim=8,0.776,0.9778710233719083,0.9900602371895278,7.303698301315308
dim=16,0.776,0.9861447696845927,0.9929345963551378,7.3402955532073975
dim=32,0.7866666666666666,0.9885957794417971,0.9934411774943438,8.712652206420898
UMAP dim=8,0.7253333333333334,0.9758288177898797,0.9834078914000149,17.537426948547363
UMAP dim=16,0.732,0.975997277059224,0.9834806096317844,8.03002667427063
UMAP dim=32,0.7386666666666667,0.9757179033356025,0.9836469903781606,8.076685905456543
