,OOS kNN acc,OOS trust,train trust,Tiempo (s)
KNNPairs(k=5),0.7866666666666666,0.9885957794417971,0.9934411774943438,7.286996126174927
KNNPairs(k=10),0.772,0.9888648059904697,0.9938854827080381,7.209798336029053
KNNPairs(k=15),0.7666666666666667,0.9891532561833447,0.9938621715024489,6.9218292236328125
"KNNPairs(k=10,hardneg)",0.772,0.9888648059904697,0.9938854827080381,6.626606464385986
GaussianNoise(adapt),0.588,0.9312753346948037,0.9455325725367345,14.184763431549072
FeatureMasking(.15),0.7933333333333333,0.9383126843657817,0.9678955371572064,7.441490411758423
"Mixup(k=10,a=.4)",0.7786666666666666,0.9607460857726344,0.9777284105318117,7.1360392570495605
KNN(10)+Noise,0.7293333333333333,0.9824620830496936,0.9898153700803063,13.255949258804321
