,OOS acc media,OOS acc std,OOS trust media,config
EmbedKit default,0.6114444444444445,0.06178776897624423,0.7331232012166145,dim=32 | aug=KNNPairs(k=5) | loss=Combined(NTXent.07 + AU.5) | h=256 L=2 | lr=0.0003 ep=150
EmbedKit sweep-best,0.7754444444444445,0.016060841113838053,0.9111027658967779,dim=32 | aug=FeatureMasking(.15) | loss=Combined(NTX.07+AU.5) | h=512 L=3 | lr=0.001 ep=150
UMAP (dim=32),0.7289999999999999,0.019633682320988114,0.9753406900484745,UMAP n_components=32
