,OOS kNN acc,OOS trust,train trust,Tiempo (s)
base,0.796,0.9362200136147039,0.9677451679470923,8.442372560501099
hidden=512,0.7946666666666666,0.9418559564329476,0.9687178339673305,9.812381744384766
n_layers=3,0.7893333333333333,0.9390649421375085,0.9702747519952264,11.985248327255249
lr=1e-3,0.792,0.9283401860676197,0.9585908256880734,8.161165237426758
epochs=300,0.7946666666666666,0.9376096210574086,0.9676768056487904,7.437549829483032
h512+L3+lr1e-3,0.7986666666666666,0.9333393238030406,0.9608511971358246,18.750230073928833
