,OOS kNN acc (media),OOS kNN acc (std),OOS trustworthiness (media)
PCA,0.7716666666666667,0.010540925533894574,0.9927667522098661
UMAP,0.7343333333333333,0.010677078252031305,0.9751856287425149
EmbedKit self-sup,0.588,0.15078829898606558,0.7921051611063588
EmbedKit superv.,0.8173333333333334,0.010252370999486466,0.9091795836897634
"Base (R^784, sin embeber)",0.7743333333333332,0.015513435037626774,
