,Trustworthiness,Continuity,kNN acc,Silhouette,Corr. distancias,Tiempo (s)
PCA,0.9168663316021668,0.971797140782934,0.525,-0.030182404443621635,0.879714397727972,0.05934762954711914
UMAP,0.9802190540012286,0.9831694756240577,0.7406666666666667,0.1768738329410553,0.6247198569585856,24.789124488830566
EmbedKit self-sup (2D),0.832935567096666,0.9499635338135924,0.42600000000000005,-0.08326933532953262,0.6205132069689991,17.74463725090027
EmbedKit self-sup (3D),0.954245256045122,0.9836061093427151,0.665,0.06360931694507599,0.5982128927064932,30.0446457862854
EmbedKit superv. (3D),0.8324120734908137,0.934165544200592,0.9316666666666666,0.5979926586151123,0.5214879275123668,26.634494304656982
PCA (16D),0.9951830457363042,0.9976890713128944,0.7683333333333333,0.0755034014582634,0.9813340456817583,0.0645287036895752
UMAP (16D),0.9852261350309934,0.9859534260345116,0.7373333333333334,0.17810571193695068,0.6116988555645716,13.016192436218262
EmbedKit self-sup (16D),0.9935810911933881,0.9974059083040152,0.7816666666666667,0.04842960461974144,0.2965209605202805,17.70897674560547
EmbedKit superv. (16D),0.9520939074105098,0.9676134137488133,0.9413333333333332,0.4488174617290497,0.5441365760968563,16.109375
