,OOS kNN acc,OOS trust,train trust,Tiempo (s)
NTXent(.05),0.7826666666666666,0.9808107102337191,0.9910723651823674,20.045005559921265
NTXent(.07),0.8,0.9794559564329476,0.991260068123617,17.26002335548401
NTXent(.2),0.7853333333333333,0.974497118221012,0.9867743119266055,14.749443531036377
NTXent(.5),0.7733333333333333,0.9652028137054686,0.9753510653638646,15.585423946380615
AlignUniform,0.7786666666666666,0.9760016337644656,0.9878496506799931,17.10042095184326
Combined(NTX.07+AU.5),0.7933333333333333,0.9806711141366009,0.9906033365654757,13.942709684371948
Combined(NTX.2+AU1.0),0.784,0.9750889040163376,0.985930295119465,13.00814962387085
