,OOS kNN acc,OOS trust,train trust,Tiempo (s)
KNNPairs(k=5),0.796,0.975124120717041,0.9897377389920688,21.327352285385132
KNNPairs(k=10),0.8066666666666666,0.981421738143862,0.990658392382089,17.013047695159912
KNNPairs(k=15),0.8053333333333333,0.9817644656228727,0.9904229531836602,14.496163606643677
"KNNPairs(k=10,hardneg)",0.7813333333333333,0.979748400272294,0.9907163123741329,16.55219054222107
GaussianNoise(adapt),0.5466666666666666,0.7977706376219651,0.8238357077148752,15.999260663986206
FeatureMasking(.15),0.7226666666666667,0.8842356251418199,0.9062906839710598,21.85998034477234
"Mixup(k=10,a=.4)",0.7426666666666667,0.9289802586793737,0.9574994555083165,14.813056468963623
KNN(10)+Noise,0.7813333333333333,0.9665991377354209,0.9784506402128241,15.55863332748413
