,OOS kNN acc,OOS trust,train trust,Tiempo (s)
dim=8,0.7786666666666666,0.9674147492625369,0.9833817557992094,28.503334522247314
dim=16,0.796,0.975124120717041,0.9897377389920688,22.433345556259155
dim=32,0.7946666666666666,0.9808776945768096,0.9907270928122125,14.311426877975464
UMAP dim=8,0.7786666666666666,0.9581464034490583,0.9747891897267597,23.65636968612671
UMAP dim=16,0.7866666666666666,0.9586388926707511,0.9751357151736655,10.600045204162598
UMAP dim=32,0.7853333333333333,0.9595423644202405,0.9754896596305412,11.976937770843506
