,OOS kNN acc,OOS trust,train trust,Tiempo (s)
base,0.8186666666666667,0.9795755842977082,0.990294980234206,11.423943996429443
hidden=512,0.7986666666666666,0.9819131381892444,0.9913454563536461,17.00666904449463
n_layers=3,0.7986666666666666,0.9769555706830043,0.9888468809825713,14.274958372116089
lr=1e-3,0.804,0.9812029952348537,0.9906686954575967,11.039663553237915
epochs=300,0.8013333333333333,0.9809797140912185,0.991190432858457,16.208142518997192
h512+L3+lr1e-3,0.8173333333333334,0.9810842750170183,0.9909398970686955,28.990983963012695
