,OOS kNN acc (media),OOS kNN acc (std),OOS trustworthiness (media)
PCA,0.6196666666666667,0.018208667044996876,0.9511576846307385
UMAP,0.726,0.008730533902472519,0.974511377245509
EmbedKit self-sup,0.3453333333333333,0.2347774359780864,0.7030237239806102
EmbedKit superv.,0.6799999999999999,0.10932113753117972,0.824801881950385
"Base (R^784, sin embeber)",0.7743333333333332,0.015513435037626774,
