,Trustworthiness,Continuity,kNN acc,Silhouette,Corr. distancias,Tiempo (s)
PCA,0.9168650695258838,0.971797140782934,0.525,-0.030182398855686188,0.8797143999046768,0.04296445846557617
UMAP,0.9802190540012286,0.9831694756240577,0.7406666666666667,0.1768738329410553,0.6247198569585856,28.647932767868042
EmbedKit self-sup (2D),0.8052790752219803,0.9530608253755515,0.491,-0.027029581367969513,0.443721246383376,18.671443700790405
EmbedKit self-sup (3D),0.9540272965879265,0.9855246216563355,0.6506666666666667,0.05587538704276085,0.5882942931454742,24.324087619781494
EmbedKit superv. (3D),0.8400514435695539,0.9399996202602334,0.931,0.6012531518936157,0.5122316780833894,25.29943561553955
