,OOS kNN acc (media),OOS kNN acc (std),OOS trustworthiness (media)
PCA,0.6373333333333333,0.012675435561221055,0.8811502138579982
UMAP,0.7853333333333333,0.009153020145163995,0.954821613915027
EmbedKit self-sup,0.23533333333333334,0.24151696512759607,0.5866244653550042
EmbedKit superv.,0.6280000000000001,0.09509877905513706,0.7917330481893355
"Base (R^1280, embeddings preentrenados sin reducir)",0.8126666666666666,0.0080691456246068,
