,Trustworthiness,Continuity,kNN acc,Silhouette,Corr. distancias,Tiempo (s)
PCA,0.8112936840341766,0.9304960853297594,0.5003333333333334,0.03171779587864876,0.5228902697186855,0.16839194297790527
UMAP,0.958891707153627,0.9737477969509131,0.78,0.28140005469322205,0.47315175300083784,30.131704568862915
EmbedKit self-sup (2D),0.8285155525772044,0.9496796113251801,0.639,0.1629454791545868,0.43376792800101976,32.27016496658325
EmbedKit self-sup (3D),0.9260118724521137,0.9737835818395041,0.7133333333333333,0.1394759714603424,0.4389515782824169,30.948460578918457
EmbedKit superv. (3D),0.8416951806556096,0.9370532529178534,0.9650000000000001,0.6585868000984192,0.42690250260559287,26.120710849761963
PCA (16D),0.9914084771318479,0.9959817166471212,0.8006666666666666,0.14469246566295624,0.795473091952441,0.09492087364196777
UMAP (16D),0.9776433685151058,0.978032065672642,0.7909999999999999,0.27856937050819397,0.48412072546269674,17.717285633087158
EmbedKit self-sup (16D),0.9907829787234043,0.9949471156530966,0.8083333333333333,0.08021445572376251,0.40280162974148914,19.81648087501526
EmbedKit superv. (16D),0.9426047690847155,0.962901211816608,0.9736666666666667,0.5000452995300293,0.4478886369705582,36.016690254211426
